"","trial_type","condition","chapter_num","page_content","query_predicate1","query_predicate2","question_order","conjunct_order","response1","response2","rt","kind","predicate_1","predicate_2","chapter","quantifier","workerid","memory_fail","slider_fail","bad_expln","n_correct","bad_ratings"
"380","critical","pp",5,"The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow  one type of crop to increase their profits when selling. During the springtime, the aliens flood their fields to plant soroneeks and to plant fujusi.","flood their fields to plant fujusi","flood their fields to plant soroneeks","same","reverse",0.98,0.98,68091,"farmers in the springtime","flood their fields to plant fujusi","flood their fields to plant soroneeks","Agriculture","generic","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"381","filler","uninterrupted",6,"Nannus only feed on rare flowers called lodeks. Most lodeks only  bloom for one day a year, and most have purple petals.","only bloom for one day a year","have purple petals","reverse","reverse",0.8,0.8,106530,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"382","filler","uninterrupted",7,"Mupors are very social creatures. Most of them live in extended family groups. Most of them also build large triangular rebos  made of clay and grass.","live in extended family groups","build large triangular rebos","reverse","reverse",0.8,0.8,37151,"mupors","live in extended family groups","build large triangular rebos","Mupors","most","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"383","critical","pp",8,"The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Farza guild and of the Tinno guild.","are part of the Tinno guild","are part of the Farza guild","reverse","reverse",0.5,0.5,73157,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"384","filler","uninterrupted",9,"Zorf the mapmaker lives in Astom. In Astom, there are many ways to get  from place to place, but the most popular way is through tunnels. All of the Astom aliens use the tunnels  to get around town from their homes in the residential quarter. Since all of the Astom aliens live there, it's very crowded at night.","use the tunnels to get around town","live in the residential quarter","same","same",1,1,80309,"Astom aliens","use the tunnels to get around town","live in the residential quarter","Zorf the mapmaker","all","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"385","critical","pp",10,"The Ludinos are an alien tribe. They are very industrious and they all are highly spiritual. They ascribe to the Daith religion and to the Caboo religion.","ascribe to the Caboo religion","ascribe to the Daith religion","same","reverse",0.5,0.5,64890,"Ludinos","ascribe to the Caboo religion","ascribe to the Daith religion","Ludinos","generic","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"386","filler","uninterrupted",11,"The weather on Dax is very constant, not changing much from day to day. Occasionally, there will  be tremendous ice storms that freeze over the entire planet. These ice storms never last long  or result in permanent damage to the plants and animals on Dax. However, the ice storms make the entire sky as dark as night.","result in permanent damage to the plants and animals on Dax","last a long time","same","reverse",1,1,42333,"ice storms on Dax","result in permanent damage to the plants and animals on Dax","last a long time","Weather","none","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"387","critical","vp",12,"Glippets are large creatures with a life-span of about sixty years. They live on the southern continent of Caro and live on the northern continent of Este.","live on the continent of Caro","live on the continent of Este","reverse","same",0.5,0.5,17919,"glippets","live on the continent of Caro","live on the continent of Este","Glippets","generic","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"388","filler","uninterrupted",13,"Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands","fly towards the mountains in search of food","reverse","reverse",0.99,0.99,19110,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"389","critical","pp",14,"Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes unlike any other continent on Dax. Mooks have territories at the tops of tall mountains and at the bottom of deep canyons.","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","reverse","same",0.5,0.5,29865,"mooks","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","Mooks","generic","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"390","filler","uninterrupted",15,"Apaffs are a nuisance for the aliens. They make burrows everywhere  including in the middle of farmland and in front of their houses. But most aliens find apaffs cute, and tolerate them to some extent.","find apaffs cute","tolerate apaffs to some extent","same","same",0.5,0.5,26702,"aliens","find apaffs cute","tolerate apaffs to some extent","Apaffs","most","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"391","filler","uninterrupted",16,"Wopis only live in the desert and  they all are very hard to find. Wopis sleep during the day to avoid  the heat.","live in the desert","are very hard to find","reverse","reverse",1,1,17089,"wopis","live in the desert","are very hard to find","Wopis","all","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"392","critical","pp",17,"Vimbles are social insects that live in colonies of up to a thousand individuals. They have a single queen, who must find somewhere to hibernate over the winter before  starting a new colony. Vimble queens hibernate in fallen logs and in the abandoned burrows of other animals.","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","reverse","same",0.5,0.5,14495,"vimble queens","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","Vimbles","generic","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"393","filler","uninterrupted",18,"Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon","are provided for by Zorxon","reverse","same",1,1,39684,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"394","critical","vp",19,"Isooms are tree-like plants that are found in hilly regions. Their fruit is edible, and the aliens often  cultivate isooms for food. Isooms produce fruit with smooth skin and produce fruit with bumpy skin.","produce fruit with bumpy skin","produce fruit with smooth skin","same","reverse",0.5,0.5,15835,"isooms","produce fruit with bumpy skin","produce fruit with smooth skin","Isooms","generic","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"395","filler","uninterrupted",20,"Supools are the biggest creatures on Dax. They all live in the oceans and  all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the  evenings, they come closer to the shore.","live in the oceans","live for a very long time","reverse","same",1,1,54005,"supools","live in the oceans","live for a very long time","Supools","all","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"396","critical","np",21,"Kweps hunt in packs. Even though they are pack animals, all of them have their own unique preferences.  They hunt at night, looking for creatures sleeping alone. Right before they go hunting, the kweps chew on tunkel and xorfun.","chew on xorfun","chew on tunkel","reverse","reverse",0.5,0.5,14225,"kweps","chew on xorfun","chew on tunkel","Kweps","generic","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"397","filler","uninterrupted",22,"Kazzes are a kind of plant that grow all over Dax. They produce fruit in the springtime, but the   fruit is poisonous to animals. No feps eat kazzes nor do they come close.","eat kazzes","come close to kazzes","same","reverse",0,0,19724,"feps","eat kazzes","come close to kazzes","Kazzes","none","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"398","critical","np",23,"Ollers spend most of their lives in water, but occasionally come on land to gather berries. Ollers use tools on land, which are passed down from parents to children, so that each family only has one of each kind of tool. While on land, ollers carry their young in trullets and guklags.","carry their young in guklags","carry their young in trullets","same","reverse",1,1,18848,"oller families","carry their young in guklags","carry their young in trullets","Ollers","generic","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"399","filler","uninterrupted",24,"The morseth lives part of its life in the sea and part of its life on land. All morseths come on land to find mates. Most morseths build permanent structures called fendles in order to bury their dead.","build permanent structures called fendles","come on land to find mates","same","reverse",0.8,0.99,60262,"morseths","build permanent structures called fendles","come on land to find mates","Morseths","most","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"400","critical","vp",25,"Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males often bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in gluers and build their nests in droops.","build nests in gluers","build nests in droops","same","same",0.5,0.5,36090,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","862b46d5fa579d805cf1791f97744b68",TRUE,FALSE,FALSE,6,FALSE
"401","filler","uninterrupted",1,"Zorf the mapmaker lives in Astom. In Astom, there are many ways to get  from place to place, but the most popular way is through tunnels. All of the Astom aliens use the tunnels  to get around town from their homes in the residential quarter. Since all of the Astom aliens live there, it's very crowded at night.","use the tunnels to get around town","live in the residential quarter","same","reverse",1,1,41318,"Astom aliens","use the tunnels to get around town","live in the residential quarter","Zorf the mapmaker","all","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"402","filler","uninterrupted",2,"Kazzes are a kind of plant that grow all over Dax. They produce fruit in the springtime, but the   fruit is poisonous to animals. No feps eat kazzes nor do they come close.","eat kazzes","come close to kazzes","reverse","same",0,0,31959,"feps","eat kazzes","come close to kazzes","Kazzes","none","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"403","critical","s",3,"Ollers spend most of their lives in water, but occasionally come on land to gather berries. Ollers use tools on land, which are passed down from parents to children, so that each family only has one of each kind of tool. While on land, ollers carry their young in trullets and ollers carry their young in guklags.","carry their young in guklags","carry their young in trullets","same","reverse",0.5,0.5,61314,"oller families","carry their young in guklags","carry their young in trullets","Ollers","generic","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"404","filler","uninterrupted",4,"Apaffs are a nuisance for the aliens. They make burrows everywhere  including in the middle of farmland and in front of their houses. But most aliens find apaffs cute, and tolerate them to some extent.","find apaffs cute","tolerate apaffs to some extent","reverse","same",0.8,0.8,27356,"aliens","find apaffs cute","tolerate apaffs to some extent","Apaffs","most","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"405","filler","uninterrupted",5,"The weather on Dax is very constant, not changing much from day to day. Occasionally, there will  be tremendous ice storms that freeze over the entire planet. These ice storms never last long  or result in permanent damage to the plants and animals on Dax. However, the ice storms make the entire sky as dark as night.","result in permanent damage to the plants and animals on Dax","last a long time","reverse","same",0,0,55720,"ice storms on Dax","result in permanent damage to the plants and animals on Dax","last a long time","Weather","none","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"406","critical","vp",6,"The Ludinos are an alien tribe. They are very industrious and they all are highly spiritual. They ascribe to the Daith religion and ascribe to the Caboo religion.","ascribe to the Caboo religion","ascribe to the Daith religion","same","reverse",0.5,0.5,27895,"Ludinos","ascribe to the Caboo religion","ascribe to the Daith religion","Ludinos","generic","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"407","filler","uninterrupted",7,"Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands","fly towards the mountains in search of food","reverse","reverse",1,1,28978,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"408","critical","np",8,"The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow  one type of crop to increase their profits when selling. During the springtime, the aliens flood their fields to plant fujusi and soroneeks.","flood their fields to plant fujusi","flood their fields to plant soroneeks","same","same",0,1,97238,"farmers in the springtime","flood their fields to plant fujusi","flood their fields to plant soroneeks","Agriculture","generic","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"409","filler","uninterrupted",9,"The morseth lives part of its life in the sea and part of its life on land. All morseths come on land to find mates. Most morseths build permanent structures called fendles in order to bury their dead.","build permanent structures called fendles","come on land to find mates","same","same",0.95,0.95,54436,"morseths","build permanent structures called fendles","come on land to find mates","Morseths","most","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"410","critical","pp",10,"Kweps hunt in packs. Even though they are pack animals, all of them have their own unique preferences.  They hunt at night, looking for creatures sleeping alone. Right before they go hunting, the kweps chew on tunkel and on xorfun.","chew on xorfun","chew on tunkel","same","reverse",1,1,49057,"kweps","chew on xorfun","chew on tunkel","Kweps","generic","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"411","filler","uninterrupted",11,"Wopis only live in the desert and  they all are very hard to find. Wopis sleep during the day to avoid  the heat.","live in the desert","are very hard to find","reverse","reverse",1,1,20616,"wopis","live in the desert","are very hard to find","Wopis","all","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"412","critical","s",12,"Glippets are large creatures with a life-span of about sixty years. They live on the southern continent of Caro and they live on the northern continent of Este.","live on the continent of Caro","live on the continent of Este","same","same",0.5,0.5,27096,"glippets","live on the continent of Caro","live on the continent of Este","Glippets","generic","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"413","filler","uninterrupted",13,"Mupors are very social creatures. Most of them live in extended family groups. Most of them also build large triangular rebos  made of clay and grass.","live in extended family groups","build large triangular rebos","same","reverse",1,1,14623,"mupors","live in extended family groups","build large triangular rebos","Mupors","most","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"414","critical","pp",14,"The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Farza guild and of the Tinno guild.","are part of the Tinno guild","are part of the Farza guild","reverse","reverse",0.5,0.5,34138,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"415","filler","uninterrupted",15,"Wint lived a long time ago in the mountains. He loved to travel. All aliens remember Wint and admire him because he was the one that found the lost city of Baff.","remember Wint","admire Wint","reverse","same",1,1,21773,"aliens","remember Wint","admire Wint","Wint of the Mountains","all","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"416","critical","vp",16,"Vimbles are social insects that live in colonies of up to a thousand individuals. They have a single queen, who must find somewhere to hibernate over the winter before  starting a new colony. Vimble queens hibernate in fallen logs and hibernate in the abandoned burrows of other animals.","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","reverse","same",0.85,1,29208,"vimble queens","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","Vimbles","generic","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"417","filler","uninterrupted",17,"Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates.","have hollow bones","fly","reverse","reverse",1,1,22902,"blins","have hollow bones","fly","Blins","all","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"418","critical","pp",18,"Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes unlike any other continent on Dax. Mooks have territories at the tops of tall mountains and at the bottom of deep canyons.","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","reverse","same",0.5,0.5,38146,"mooks","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","Mooks","generic","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"419","filler","uninterrupted",19,"Supools are the biggest creatures on Dax. They all live in the oceans and  all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the  evenings, they come closer to the shore.","live in the oceans","live for a very long time","reverse","same",1,1,27580,"supools","live in the oceans","live for a very long time","Supools","all","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"420","critical","pp",20,"Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males often bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in gluers and in droops.","build nests in gluers","build nests in droops","same","same",1,1,30995,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"421","filler","uninterrupted",21,"Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon","are provided for by Zorxon","reverse","same",1,1,27693,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"422","filler","uninterrupted",22,"Nannus only feed on rare flowers called lodeks. Most lodeks only  bloom for one day a year, and most have purple petals.","only bloom for one day a year","have purple petals","same","same",1,1,18793,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"423","critical","vp",23,"Isooms are tree-like plants that are found in hilly regions. Their fruit is edible, and the aliens often  cultivate isooms for food. Isooms produce fruit with smooth skin and produce fruit with bumpy skin.","produce fruit with bumpy skin","produce fruit with smooth skin","same","reverse",0.5,0.5,22292,"isooms","produce fruit with bumpy skin","produce fruit with smooth skin","Isooms","generic","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"424","filler","uninterrupted",24,"Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent  years they all have migrated to the continent Caro. Now that they have their own territory, they are never attacked by other creatures.","live in the continent of Aga","are attacked by other creatures","same","same",0,0,32506,"plovs","live in the continent of Aga","are attacked by other creatures","Plovs","none","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"425","critical","pp",25,"Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Animals like stups, four-legged creatures with  large antlers, are an important resource for the Krens. Stups roam all over the windy highlands of Benli, far from the oceans. Krens work as fishermen and as stup-herders.","are stup-herders","are fishermen","reverse","reverse",0.5,0.5,27432,"Krens","are stup-herders","are fishermen","Finding food","generic","f36f4037e8934adf47c5188fa01f3644",FALSE,FALSE,FALSE,9,FALSE
"426","filler","uninterrupted",1,"Nannus only feed on rare flowers called lodeks. Most lodeks only  bloom for one day a year, and most have purple petals.","only bloom for one day a year","have purple petals","same","same",0.9,0.9,52942,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"427","filler","uninterrupted",2,"Kazzes are a kind of plant that grow all over Dax. They produce fruit in the springtime, but the   fruit is poisonous to animals. No feps eat kazzes nor do they come close.","eat kazzes","come close to kazzes","same","same",0,0,40215,"feps","eat kazzes","come close to kazzes","Kazzes","none","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"428","critical","vp",3,"The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow  one type of crop to increase their profits when selling. During the springtime, the aliens flood their fields to plant fujusi and flood their fields to plant soroneeks.","flood their fields to plant fujusi","flood their fields to plant soroneeks","same","same",0.5,0.5,73566,"farmers in the springtime","flood their fields to plant fujusi","flood their fields to plant soroneeks","Agriculture","generic","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"429","filler","uninterrupted",4,"Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon","are provided for by Zorxon","same","same",1,1,32038,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"430","critical","s",5,"Glippets are large creatures with a life-span of about sixty years. They live on the southern continent of Caro and they live on the northern continent of Este.","live on the continent of Caro","live on the continent of Este","reverse","same",0.5,0.5,29142,"glippets","live on the continent of Caro","live on the continent of Este","Glippets","generic","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"431","filler","uninterrupted",6,"Mupors are very social creatures. Most of them live in extended family groups. Most of them also build large triangular rebos  made of clay and grass.","live in extended family groups","build large triangular rebos","reverse","same",0.85,0.85,40390,"mupors","live in extended family groups","build large triangular rebos","Mupors","most","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"432","critical","vp",7,"Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Animals like stups, four-legged creatures with  large antlers, are an important resource for the Krens. Stups roam all over the windy highlands of Benli, far from the oceans. Krens work as stup-herders and work as fishermen.","are stup-herders","are fishermen","reverse","same",0.7,0.3,62922,"Krens","are stup-herders","are fishermen","Finding food","generic","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"433","filler","uninterrupted",8,"Wint lived a long time ago in the mountains. He loved to travel. All aliens remember Wint and admire him because he was the one that found the lost city of Baff.","remember Wint","admire Wint","same","reverse",1,1,23758,"aliens","remember Wint","admire Wint","Wint of the Mountains","all","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"434","critical","vp",9,"The Ludinos are an alien tribe. They are very industrious and they all are highly spiritual. They ascribe to the Caboo religion and ascribe to the Daith religion.","ascribe to the Caboo religion","ascribe to the Daith religion","same","same",0.5,0.5,32477,"Ludinos","ascribe to the Caboo religion","ascribe to the Daith religion","Ludinos","generic","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"435","filler","uninterrupted",10,"Apaffs are a nuisance for the aliens. They make burrows everywhere  including in the middle of farmland and in front of their houses. But most aliens find apaffs cute, and tolerate them to some extent.","find apaffs cute","tolerate apaffs to some extent","same","same",0.8,0.8,31658,"aliens","find apaffs cute","tolerate apaffs to some extent","Apaffs","most","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"436","critical","np",11,"Kweps hunt in packs. Even though they are pack animals, all of them have their own unique preferences.  They hunt at night, looking for creatures sleeping alone. Right before they go hunting, the kweps chew on xorfun and tunkel.","chew on xorfun","chew on tunkel","same","same",0.9,0.8,42530,"kweps","chew on xorfun","chew on tunkel","Kweps","generic","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"437","filler","uninterrupted",12,"Wopis only live in the desert and  they all are very hard to find. Wopis sleep during the day to avoid  the heat.","live in the desert","are very hard to find","reverse","reverse",1,1,28990,"wopis","live in the desert","are very hard to find","Wopis","all","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"438","critical","pp",13,"Isooms are tree-like plants that are found in hilly regions. Their fruit is edible, and the aliens often  cultivate isooms for food. Isooms produce fruit with bumpy skin and with smooth skin.","produce fruit with bumpy skin","produce fruit with smooth skin","same","same",0.5,0.5,22071,"isooms","produce fruit with bumpy skin","produce fruit with smooth skin","Isooms","generic","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"439","filler","uninterrupted",14,"Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands","fly towards the mountains in search of food","same","same",1,1,21941,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"440","filler","uninterrupted",15,"Supools are the biggest creatures on Dax. They all live in the oceans and  all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the  evenings, they come closer to the shore.","live in the oceans","live for a very long time","reverse","reverse",1,1,26520,"supools","live in the oceans","live for a very long time","Supools","all","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"441","critical","pp",16,"Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes unlike any other continent on Dax. Mooks have territories at the bottom of deep canyons and at the tops of tall mountains.","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","reverse","reverse",0.5,0.5,21123,"mooks","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","Mooks","generic","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"442","filler","uninterrupted",17,"The morseth lives part of its life in the sea and part of its life on land. All morseths come on land to find mates. Most morseths build permanent structures called fendles in order to bury their dead.","build permanent structures called fendles","come on land to find mates","same","same",0.9,1,60300,"morseths","build permanent structures called fendles","come on land to find mates","Morseths","most","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"443","critical","np",18,"The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Farza guild and the Tinno guild.","are part of the Tinno guild","are part of the Farza guild","same","reverse",0.5,0.5,42486,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"444","filler","uninterrupted",19,"Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent  years they all have migrated to the continent Caro. Now that they have their own territory, they are never attacked by other creatures.","live in the continent of Aga","are attacked by other creatures","reverse","reverse",0,0,36160,"plovs","live in the continent of Aga","are attacked by other creatures","Plovs","none","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"445","critical","np",20,"Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males often bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in gluers and droops.","build nests in gluers","build nests in droops","reverse","same",0.5,0.5,49076,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"446","filler","uninterrupted",21,"Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates.","have hollow bones","fly","reverse","reverse",1,1,18347,"blins","have hollow bones","fly","Blins","all","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"447","filler","uninterrupted",22,"Zorf the mapmaker lives in Astom. In Astom, there are many ways to get  from place to place, but the most popular way is through tunnels. All of the Astom aliens use the tunnels  to get around town from their homes in the residential quarter. Since all of the Astom aliens live there, it's very crowded at night.","use the tunnels to get around town","live in the residential quarter","same","same",1,1,26121,"Astom aliens","use the tunnels to get around town","live in the residential quarter","Zorf the mapmaker","all","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"448","critical","pp",23,"Vimbles are social insects that live in colonies of up to a thousand individuals. They have a single queen, who must find somewhere to hibernate over the winter before  starting a new colony. Vimble queens hibernate in fallen logs and in the abandoned burrows of other animals.","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","reverse","same",0.5,0.5,26947,"vimble queens","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","Vimbles","generic","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
"449","filler","uninterrupted",24,"The weather on Dax is very constant, not changing much from day to day. Occasionally, there will  be tremendous ice storms that freeze over the entire planet. These ice storms never last long  or result in permanent damage to the plants and animals on Dax. However, the ice storms make the entire sky as dark as night.","result in permanent damage to the plants and animals on Dax","last a long time","same","reverse",0,0,36435,"ice storms on Dax","result in permanent damage to the plants and animals on Dax","last a long time","Weather","none","95e57d6a6388233676b7925b0929ee6f",FALSE,FALSE,FALSE,10,FALSE
