"","trial_type","condition","page_content","query_predicate","response","rt","kind","predicate_1","predicate_2","chapter","quantifier","workerid","memory_fail","slider_fail","bad_expln","n_correct","bad_ratings"
"488","critical","pp","Ollers spend most of their lives in water, but occasionally come on land to gather berries. Ollers use tools on land, which are passed down from parents to children, so that each family only has one of each kind of tool. While on land, ollers carry their young in guklags and in trullets.","carry their young in guklags",1,44416,"oller families","carry their young in guklags","carry their young in trullets","Ollers","generic","5bbce14c88a0178a2dd09cc1006492df",FALSE,FALSE,FALSE,10,FALSE
"489","filler","uninterrupted","Mupors are very social creatures. Most of them live in extended family groups. Most of them also build large triangular rebos  made of clay and grass.","live in extended family groups",0.9,14278,"mupors","live in extended family groups","build large triangular rebos","Mupors","most","5bbce14c88a0178a2dd09cc1006492df",FALSE,FALSE,FALSE,10,FALSE
"490","critical","np","The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow  one type of crop to increase their profits when selling. During the springtime, the aliens flood their fields to plant fujusi and soroneeks.","flood their fields to plant fujusi",0.5,21443,"farmers in the springtime","flood their fields to plant fujusi","burn their fields to plant soroneeks","Agriculture","generic","5bbce14c88a0178a2dd09cc1006492df",FALSE,FALSE,FALSE,10,FALSE
"491","filler","uninterrupted","Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands",1,15660,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","5bbce14c88a0178a2dd09cc1006492df",FALSE,FALSE,FALSE,10,FALSE
"492","critical","np","Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes  unlike any other continent on Dax. Mooks have territories at the tops of tall mountains and the bottom of deep canyons.","have territories at the tops of tall mountains",0.5,27081,"mooks","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","Mooks","generic","5bbce14c88a0178a2dd09cc1006492df",FALSE,FALSE,FALSE,10,FALSE
"493","filler","uninterrupted","Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent  years they all have migrated to the continent Caro. Now that they have their own territory, they are never attacked by other creatures.","live in the continent of Aga",0,68487,"plovs","live in the continent of Aga","are attacked by other creatures","Plovs","none","5bbce14c88a0178a2dd09cc1006492df",FALSE,FALSE,FALSE,10,FALSE
"494","critical","vp","Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males often bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in gluers and build their nests in droops.","build nests in gluers",0.5,18358,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","5bbce14c88a0178a2dd09cc1006492df",FALSE,FALSE,FALSE,10,FALSE
"495","filler","uninterrupted","Wopis only live in the desert and  they all are very hard to find. Wopis sleep during the day to avoid  the heat.","live in the desert",1,15417,"wopis","live in the desert","are very hard to find","Wopis","all","5bbce14c88a0178a2dd09cc1006492df",FALSE,FALSE,FALSE,10,FALSE
"496","critical","np","Isooms are tree-like plants that are found in hilly regions. Their fruit is edible, and the aliens often  cultivate isooms for food. Isooms produce fruit with bumpy skin  and smooth skin.","produce fruit with bumpy skin",0.5,15573,"isooms","produce fruit with bumpy skin","produce fruit with smooth skin","Isooms","generic","5bbce14c88a0178a2dd09cc1006492df",FALSE,FALSE,FALSE,10,FALSE
"497","filler","uninterrupted","Nannus only feed on rare flowers called lodeks. Most lodeks only  bloom for one day a year, and most have purple petals.","only bloom for one day a year",0.91,27248,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","5bbce14c88a0178a2dd09cc1006492df",FALSE,FALSE,FALSE,10,FALSE
"498","critical","s","Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Animals like stups, four-legged creatures with  large antlers, are an important resource for the Krens. Stups roam all over the windy highlands of Benli, far from the oceans. Krens work as stup-herders and Krens work as fishermen.","are stup-herders",0.5,19858,"Krens","are stup-herders","are fishermen","Finding food","generic","5bbce14c88a0178a2dd09cc1006492df",FALSE,FALSE,FALSE,10,FALSE
"499","filler","uninterrupted","Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon",1,22907,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","5bbce14c88a0178a2dd09cc1006492df",FALSE,FALSE,FALSE,10,FALSE
"500","critical","s","Glippets are large creatures with a life-span of about  sixty years. They live on the southern continent of Caro and they live on the northern continent of Este.","live on the continent of Caro",0.5,15731,"glippets","live on the continent of Caro","live on the continent of Este","Glippets","generic","5bbce14c88a0178a2dd09cc1006492df",FALSE,FALSE,FALSE,10,FALSE
"501","filler","uninterrupted","The weather on Dax is very constant, not changing much from day to day. Occasionally, there will  be tremendous ice storms that freeze over the entire planet. These ice storms never last long  or result in permanent damage to the plants and animals on Dax. However, the ice storms make the entire sky as dark as night.","result in permanent damage to the plants and animals on Dax",0,43382,"ice storms on Dax","result in permanent damage to the plants and animals on Dax","last a long time","Weather","none","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"502","filler","uninterrupted","Kazzes are a kind of plant that grow all over Dax. They produce fruit in the springtime, but the   fruit is poisonous to animals. No feps eat kazzes nor do they come close.","eat kazzes",0,26787,"feps","eat kazzes","come close to kazzes","Kazzes","none","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"503","critical","vp","Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes  unlike any other continent on Dax. Mooks have territories at the tops of tall mountains and have territories at the bottom of deep canyons.","have territories at the tops of tall mountains",0.5,17838,"mooks","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","Mooks","generic","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"504","filler","uninterrupted","Wint lived a long time ago in the mountains. He loved to travel. All aliens remember Wint and admire him because he was the one that found the lost city of Baff.","remember Wint",0.95,19848,"aliens","remember Wint","admire Wint","Wint of the Mountains","all","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"505","critical","s","Glippets are large creatures with a life-span of about  sixty years. They live on the southern continent of Caro and they live on the northern continent of Este.","live on the continent of Caro",0.5,16455,"glippets","live on the continent of Caro","live on the continent of Este","Glippets","generic","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"506","filler","uninterrupted","Wopis only live in the desert and  they all are very hard to find. Wopis sleep during the day to avoid  the heat.","live in the desert",1,11876,"wopis","live in the desert","are very hard to find","Wopis","all","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"507","critical","vp","The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Tinno guild  and are part of the Farza guild.","are part of the Tinno guild",0.5,22340,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"508","filler","uninterrupted","Zorf the mapmaker lives in the large forest city of Astom. In Astom, there are many ways to get  from place to place, but the most popular way is through tunnels. All of the Astom aliens use the tunnels  to get around town from their homes in the residential quarter. Since all of the Astom aliens live there, it's very crowded at night.","use the tunnels to get around town",1,26455,"Astom aliens","use the tunnels to get around town","live in the residential quarter","Zorf the mapmaker","all","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"509","filler","uninterrupted","Supools are the biggest creatures on Dax. They all live in the oceans and  all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the  evenings, they come closer to the shore.","live in the oceans",1,16503,"supools","live in the oceans","live for a very long time","Supools","all","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"510","critical","s","Vimbles are social insects that live in colonies of up to a thousand individuals. They have a single queen, who must find somewhere to hibernate over the winter before  starting a new colony. Vimble queens hibernate in fallen logs   and vimble queens hibernate in the abandoned burrows of other animals.","hibernate in fallen logs",0.5,28698,"vimble queens","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","Vimbles","generic","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"511","filler","uninterrupted","Mupors are very social creatures. Most of them live in extended family groups. Most of them also build large triangular rebos  made of clay and grass.","live in extended family groups",0.85,19747,"mupors","live in extended family groups","build large triangular rebos","Mupors","most","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"512","critical","pp","Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Animals like stups, four-legged creatures with  large antlers, are an important resource for the Krens. Stups roam all over the windy highlands of Benli, far from the oceans. Krens work as stup-herders and as fishermen.","are stup-herders",0.5,28107,"Krens","are stup-herders","are fishermen","Finding food","generic","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"513","filler","uninterrupted","Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon",0.95,15358,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"514","critical","np","Ollers spend most of their lives in water, but occasionally come on land to gather berries. Ollers use tools on land, which are passed down from parents to children, so that each family only has one of each kind of tool. While on land, ollers carry their young in guklags and trullets.","carry their young in guklags",0.5,24106,"oller families","carry their young in guklags","carry their young in trullets","Ollers","generic","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"515","filler","uninterrupted","Nannus only feed on rare flowers called lodeks. Most lodeks only  bloom for one day a year, and most have purple petals.","only bloom for one day a year",0.8,12723,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"516","critical","s","The Ludinos are an alien tribe. They are very industrious and they all are highly spiritual. They ascribe to the Caboo religion and they ascribe to the Daith religion.","ascribe to the Caboo religion",0.5,11207,"Ludinos","ascribe to the Caboo religion","ascribe to the Daith religion","Ludinos","generic","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"517","filler","uninterrupted","Apaffs are a nuisance for the aliens. They make burrows everywhere  including in the middle of farmland and in front of their houses. But most aliens find apaffs cute, and tolerate them to some extent.","find apaffs cute",0.8,16832,"aliens","find apaffs cute","tolerate apaffs to some extent","Apaffs","most","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"518","filler","uninterrupted","The morseth lives part of its life in the sea and part of its life on land. Most morseths build permanent structures called fendles in order to bury their dead  kin, and fendles are usually made out of wood.","build permanent structures called fendles",0.75,18051,"morseths","build permanent structures called fendles","come on land to find mates","Morseths","most","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"519","critical","pp","Isooms are tree-like plants that are found in hilly regions. Their fruit is edible, and the aliens often  cultivate isooms for food. Isooms produce fruit with bumpy skin  and with smooth skin.","produce fruit with bumpy skin",0.5,16046,"isooms","produce fruit with bumpy skin","produce fruit with smooth skin","Isooms","generic","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"520","filler","uninterrupted","Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands",1,110006,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"521","critical","np","The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow  one type of crop to increase their profits when selling. During the springtime, the aliens flood their fields to plant fujusi and soroneeks.","flood their fields to plant fujusi",0.5,36127,"farmers in the springtime","flood their fields to plant fujusi","burn their fields to plant soroneeks","Agriculture","generic","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"522","filler","uninterrupted","Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates.","have hollow bones",1,11315,"blins","have hollow bones","fly","Blins","all","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"523","critical","vp","Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males often bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in gluers and build their nests in droops.","build nests in gluers",0.5,17438,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"524","filler","uninterrupted","Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent  years they all have migrated to the continent Caro. Now that they have their own territory, they are never attacked by other creatures.","live in the continent of Aga",0,27318,"plovs","live in the continent of Aga","are attacked by other creatures","Plovs","none","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"525","critical","s","Kweps hunt in packs. Even though they are pack animals, all of them have their own unique preferences.  They hunt at night, looking for creatures sleeping alone. Right before they go hunting, the kweps chew on xorfun and the kweps chew on tunkel.","chew on xorfun",0.5,25946,"kweps","chew on xorfun","chew on tunkel","Kweps","generic","a35e6f82148886b36e7ae4a2ca8da853",FALSE,FALSE,FALSE,7,FALSE
"526","filler","uninterrupted","The weather on Dax is very constant, not changing much from day to day. Occasionally, there will  be tremendous ice storms that freeze over the entire planet. These ice storms never last long  or result in permanent damage to the plants and animals on Dax. However, the ice storms make the entire sky as dark as night.","result in permanent damage to the plants and animals on Dax",0.68,21915,"ice storms on Dax","result in permanent damage to the plants and animals on Dax","last a long time","Weather","none","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"527","filler","uninterrupted","Supools are the biggest creatures on Dax. They all live in the oceans and  all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the  evenings, they come closer to the shore.","live in the oceans",0.71,18398,"supools","live in the oceans","live for a very long time","Supools","all","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"528","filler","uninterrupted","Mupors are very social creatures. Most of them live in extended family groups. Most of them also build large triangular rebos  made of clay and grass.","live in extended family groups",0.61,12913,"mupors","live in extended family groups","build large triangular rebos","Mupors","most","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"529","critical","s","Kweps hunt in packs. Even though they are pack animals, all of them have their own unique preferences.  They hunt at night, looking for creatures sleeping alone. Right before they go hunting, the kweps chew on xorfun and the kweps chew on tunkel.","chew on xorfun",0.63,14460,"kweps","chew on xorfun","chew on tunkel","Kweps","generic","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"530","filler","uninterrupted","The morseth lives part of its life in the sea and part of its life on land. Most morseths build permanent structures called fendles in order to bury their dead  kin, and fendles are usually made out of wood.","build permanent structures called fendles",0.68,9961,"morseths","build permanent structures called fendles","come on land to find mates","Morseths","most","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"531","critical","np","Isooms are tree-like plants that are found in hilly regions. Their fruit is edible, and the aliens often  cultivate isooms for food. Isooms produce fruit with bumpy skin  and smooth skin.","produce fruit with bumpy skin",0.73,10132,"isooms","produce fruit with bumpy skin","produce fruit with smooth skin","Isooms","generic","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"532","filler","uninterrupted","Apaffs are a nuisance for the aliens. They make burrows everywhere  including in the middle of farmland and in front of their houses. But most aliens find apaffs cute, and tolerate them to some extent.","find apaffs cute",0.39,11156,"aliens","find apaffs cute","tolerate apaffs to some extent","Apaffs","most","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"533","critical","vp","Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males often bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in gluers and build their nests in droops.","build nests in gluers",0.66,11037,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"534","filler","uninterrupted","Wopis only live in the desert and  they all are very hard to find. Wopis sleep during the day to avoid  the heat.","live in the desert",0.69,8777,"wopis","live in the desert","are very hard to find","Wopis","all","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"535","critical","np","The Ludinos are an alien tribe. They are very industrious and they all are highly spiritual. They ascribe to the Caboo religion and the Daith religion.","ascribe to the Caboo religion",0.71,9200,"Ludinos","ascribe to the Caboo religion","ascribe to the Daith religion","Ludinos","generic","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"536","filler","uninterrupted","Kazzes are a kind of plant that grow all over Dax. They produce fruit in the springtime, but the   fruit is poisonous to animals. No feps eat kazzes nor do they come close.","eat kazzes",0.41,9352,"feps","eat kazzes","come close to kazzes","Kazzes","none","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"537","critical","s","Vimbles are social insects that live in colonies of up to a thousand individuals. They have a single queen, who must find somewhere to hibernate over the winter before  starting a new colony. Vimble queens hibernate in fallen logs   and vimble queens hibernate in the abandoned burrows of other animals.","hibernate in fallen logs",0.65,9628,"vimble queens","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","Vimbles","generic","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"538","filler","uninterrupted","Wint lived a long time ago in the mountains. He loved to travel. All aliens remember Wint and admire him because he was the one that found the lost city of Baff.","remember Wint",0.73,8480,"aliens","remember Wint","admire Wint","Wint of the Mountains","all","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"539","critical","vp","The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow  one type of crop to increase their profits when selling. During the springtime, the aliens flood their fields to plant fujusi and flood their fields to plant soroneeks.","flood their fields to plant fujusi",0.66,8730,"farmers in the springtime","flood their fields to plant fujusi","burn their fields to plant soroneeks","Agriculture","generic","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"540","filler","uninterrupted","Zorf the mapmaker lives in the large forest city of Astom. In Astom, there are many ways to get  from place to place, but the most popular way is through tunnels. All of the Astom aliens use the tunnels  to get around town from their homes in the residential quarter. Since all of the Astom aliens live there, it's very crowded at night.","use the tunnels to get around town",0.69,11018,"Astom aliens","use the tunnels to get around town","live in the residential quarter","Zorf the mapmaker","all","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"541","critical","pp","Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Animals like stups, four-legged creatures with  large antlers, are an important resource for the Krens. Stups roam all over the windy highlands of Benli, far from the oceans. Krens work as stup-herders and as fishermen.","are stup-herders",0.8,13898,"Krens","are stup-herders","are fishermen","Finding food","generic","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"542","filler","uninterrupted","Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent  years they all have migrated to the continent Caro. Now that they have their own territory, they are never attacked by other creatures.","live in the continent of Aga",0.42,9593,"plovs","live in the continent of Aga","are attacked by other creatures","Plovs","none","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"543","critical","s","The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Tinno guild  and basket weavers are part of the Farza guild.","are part of the Tinno guild",0.62,11241,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"544","filler","uninterrupted","Nannus only feed on rare flowers called lodeks. Most lodeks only  bloom for one day a year, and most have purple petals.","only bloom for one day a year",1,17157,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"545","critical","vp","Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes  unlike any other continent on Dax. Mooks have territories at the tops of tall mountains and have territories at the bottom of deep canyons.","have territories at the tops of tall mountains",0.51,10007,"mooks","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","Mooks","generic","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"546","filler","uninterrupted","Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates.","have hollow bones",1,13183,"blins","have hollow bones","fly","Blins","all","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"547","filler","uninterrupted","Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon",0.59,9724,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"548","critical","s","Glippets are large creatures with a life-span of about  sixty years. They live on the southern continent of Caro and they live on the northern continent of Este.","live on the continent of Caro",0.39,9947,"glippets","live on the continent of Caro","live on the continent of Este","Glippets","generic","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"549","filler","uninterrupted","Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands",0.38,9791,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"550","critical","pp","Ollers spend most of their lives in water, but occasionally come on land to gather berries. Ollers use tools on land, which are passed down from parents to children, so that each family only has one of each kind of tool. While on land, ollers carry their young in guklags and in trullets.","carry their young in guklags",0.5,12191,"oller families","carry their young in guklags","carry their young in trullets","Ollers","generic","765cdd58c0e4dc60cb61beaedf2cf9c8",TRUE,FALSE,TRUE,1,FALSE
"551","filler","uninterrupted","Nannus only feed on rare flowers called lodeks. Most lodeks only  bloom for one day a year, and most have purple petals.","only bloom for one day a year",0.8,19454,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","4e5181c68125e1284735f78d2403ada5",FALSE,FALSE,FALSE,10,FALSE
"552","filler","uninterrupted","The morseth lives part of its life in the sea and part of its life on land. Most morseths build permanent structures called fendles in order to bury their dead  kin, and fendles are usually made out of wood.","build permanent structures called fendles",0.9,19599,"morseths","build permanent structures called fendles","come on land to find mates","Morseths","most","4e5181c68125e1284735f78d2403ada5",FALSE,FALSE,FALSE,10,FALSE
"553","critical","pp","Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Animals like stups, four-legged creatures with  large antlers, are an important resource for the Krens. Stups roam all over the windy highlands of Benli, far from the oceans. Krens work as stup-herders and as fishermen.","are stup-herders",0.6,22218,"Krens","are stup-herders","are fishermen","Finding food","generic","4e5181c68125e1284735f78d2403ada5",FALSE,FALSE,FALSE,10,FALSE
"554","filler","uninterrupted","Wint lived a long time ago in the mountains. He loved to travel. All aliens remember Wint and admire him because he was the one that found the lost city of Baff.","remember Wint",1,13046,"aliens","remember Wint","admire Wint","Wint of the Mountains","all","4e5181c68125e1284735f78d2403ada5",FALSE,FALSE,FALSE,10,FALSE
"555","filler","uninterrupted","Wopis only live in the desert and  they all are very hard to find. Wopis sleep during the day to avoid  the heat.","live in the desert",1,19295,"wopis","live in the desert","are very hard to find","Wopis","all","4e5181c68125e1284735f78d2403ada5",FALSE,FALSE,FALSE,10,FALSE
"556","critical","np","The Ludinos are an alien tribe. They are very industrious and they all are highly spiritual. They ascribe to the Caboo religion and the Daith religion.","ascribe to the Caboo religion",0.5,12679,"Ludinos","ascribe to the Caboo religion","ascribe to the Daith religion","Ludinos","generic","4e5181c68125e1284735f78d2403ada5",FALSE,FALSE,FALSE,10,FALSE
"557","filler","uninterrupted","Mupors are very social creatures. Most of them live in extended family groups. Most of them also build large triangular rebos  made of clay and grass.","live in extended family groups",0.75,13030,"mupors","live in extended family groups","build large triangular rebos","Mupors","most","4e5181c68125e1284735f78d2403ada5",FALSE,FALSE,FALSE,10,FALSE
"558","filler","uninterrupted","Apaffs are a nuisance for the aliens. They make burrows everywhere  including in the middle of farmland and in front of their houses. But most aliens find apaffs cute, and tolerate them to some extent.","find apaffs cute",0.7,15168,"aliens","find apaffs cute","tolerate apaffs to some extent","Apaffs","most","4e5181c68125e1284735f78d2403ada5",FALSE,FALSE,FALSE,10,FALSE
"559","critical","np","Kweps hunt in packs. Even though they are pack animals, all of them have their own unique preferences.  They hunt at night, looking for creatures sleeping alone. Right before they go hunting, the kweps chew on xorfun and tunkel.","chew on xorfun",0.85,16695,"kweps","chew on xorfun","chew on tunkel","Kweps","generic","4e5181c68125e1284735f78d2403ada5",FALSE,FALSE,FALSE,10,FALSE
"560","filler","uninterrupted","Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent  years they all have migrated to the continent Caro. Now that they have their own territory, they are never attacked by other creatures.","live in the continent of Aga",0,20231,"plovs","live in the continent of Aga","are attacked by other creatures","Plovs","none","4e5181c68125e1284735f78d2403ada5",FALSE,FALSE,FALSE,10,FALSE
"561","critical","vp","The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Tinno guild  and are part of the Farza guild.","are part of the Tinno guild",0.4,13295,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","4e5181c68125e1284735f78d2403ada5",FALSE,FALSE,FALSE,10,FALSE
"562","filler","uninterrupted","Zorf the mapmaker lives in the large forest city of Astom. In Astom, there are many ways to get  from place to place, but the most popular way is through tunnels. All of the Astom aliens use the tunnels  to get around town from their homes in the residential quarter. Since all of the Astom aliens live there, it's very crowded at night.","use the tunnels to get around town",1,15752,"Astom aliens","use the tunnels to get around town","live in the residential quarter","Zorf the mapmaker","all","4e5181c68125e1284735f78d2403ada5",FALSE,FALSE,FALSE,10,FALSE
"563","critical","np","The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow  one type of crop to increase their profits when selling. During the springtime, the aliens flood their fields to plant fujusi and soroneeks.","flood their fields to plant fujusi",1,23559,"farmers in the springtime","flood their fields to plant fujusi","burn their fields to plant soroneeks","Agriculture","generic","4e5181c68125e1284735f78d2403ada5",FALSE,FALSE,FALSE,10,FALSE
"564","filler","uninterrupted","Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands",1,15718,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","4e5181c68125e1284735f78d2403ada5",FALSE,FALSE,FALSE,10,FALSE
"565","critical","s","Isooms are tree-like plants that are found in hilly regions. Their fruit is edible, and the aliens often  cultivate isooms for food. Isooms produce fruit with bumpy skin  and isooms produce fruit with smooth skin.","produce fruit with bumpy skin",0.8,21584,"isooms","produce fruit with bumpy skin","produce fruit with smooth skin","Isooms","generic","4e5181c68125e1284735f78d2403ada5",FALSE,FALSE,FALSE,10,FALSE
