"","workerid","condition","rt","trial_type","predicate_1","val","memory_fail","slider_fail","chapter"
"204","f9ab1041e0a0b182264639dad9f125f3","uninterrupted",30023,"critical","have striped fur",0.5,FALSE,FALSE,"Kaples"
"205","cb76abad72df18098c8593513610c5d2","interrupted",16877,"critical","ascribe to the Caboo religion",0.99,FALSE,FALSE,"Ludinos"
"206","cb76abad72df18098c8593513610c5d2","nme_uninterrupted",16891,"critical","have territories at the tops of tall mountains",0.93,FALSE,FALSE,"Mooks"
"207","cb76abad72df18098c8593513610c5d2","uninterrupted",20365,"critical","have four horns",0.5,FALSE,FALSE,"Landeks"
"208","cb76abad72df18098c8593513610c5d2","nme_interrupted",20548,"critical","chew on xorfun",0.92,FALSE,FALSE,"Kweps"
"209","cb76abad72df18098c8593513610c5d2","uninterrupted",10997,"critical","live on the continent of Caro",0.5,FALSE,FALSE,"Glippets"
"210","cb76abad72df18098c8593513610c5d2","nme_uninterrupted",17622,"critical","have six wings",0.98,FALSE,FALSE,"Batozes"
"211","cb76abad72df18098c8593513610c5d2","interrupted",18989,"critical","wear wutsats around their heads",0.97,FALSE,FALSE,"Reesles"
"212","cb76abad72df18098c8593513610c5d2","interrupted",13758,"critical","have striped fur",0.99,FALSE,FALSE,"Kaples"
"213","cb76abad72df18098c8593513610c5d2","interrupted",14429,"critical","have long wings",0.97,FALSE,FALSE,"Lorches"
"214","cb76abad72df18098c8593513610c5d2","nme_interrupted",23940,"critical","build nests in gluers",0.97,FALSE,FALSE,"Fengnors"
"215","cb76abad72df18098c8593513610c5d2","uninterrupted",28146,"critical","carry their young in guklags",0.96,FALSE,FALSE,"Ollers"
"216","cb76abad72df18098c8593513610c5d2","uninterrupted",23716,"critical","are stup-herders",0.8,FALSE,FALSE,"Finding food"
"217","80d5f4bb6b2fa799cc458fd16cd86486","interrupted",13376,"critical","have six wings",0.99,FALSE,FALSE,"Batozes"
"218","80d5f4bb6b2fa799cc458fd16cd86486","nme_uninterrupted",22351,"critical","flood their fields to plant fujusi",0.89,FALSE,FALSE,"Agriculture"
"219","80d5f4bb6b2fa799cc458fd16cd86486","interrupted",21990,"critical","wear wutsats around their heads",0.95,FALSE,FALSE,"Reesles"
"220","80d5f4bb6b2fa799cc458fd16cd86486","nme_uninterrupted",16759,"critical","have four horns",0.99,FALSE,FALSE,"Landeks"
"221","80d5f4bb6b2fa799cc458fd16cd86486","uninterrupted",16511,"critical","produce fruit with bumpy skin",0.5,FALSE,FALSE,"Isooms"
"222","80d5f4bb6b2fa799cc458fd16cd86486","nme_interrupted",10856,"critical","ascribe to the Caboo religion",0.99,FALSE,FALSE,"Ludinos"
"223","80d5f4bb6b2fa799cc458fd16cd86486","uninterrupted",36399,"critical","are part of the Tinno guild",0.5,FALSE,FALSE,"Crafts"
"224","80d5f4bb6b2fa799cc458fd16cd86486","nme_interrupted",19638,"critical","are stup-herders",0.87,FALSE,FALSE,"Finding food"
"225","80d5f4bb6b2fa799cc458fd16cd86486","interrupted",21391,"critical","carry their young in guklags",0.91,FALSE,FALSE,"Ollers"
"226","80d5f4bb6b2fa799cc458fd16cd86486","uninterrupted",15567,"critical","hibernate in fallen logs",0.41,FALSE,FALSE,"Vimbles"
"227","80d5f4bb6b2fa799cc458fd16cd86486","uninterrupted",10591,"critical","live on the continent of Caro",0.5,FALSE,FALSE,"Glippets"
"228","80d5f4bb6b2fa799cc458fd16cd86486","interrupted",18951,"critical","have territories at the tops of tall mountains",0.85,FALSE,FALSE,"Mooks"
"229","ba8a3e8a9d70b2faaa9cbaaf1fb74588","interrupted",40311,"critical","hibernate in fallen logs",0.85,FALSE,FALSE,"Vimbles"
"230","ba8a3e8a9d70b2faaa9cbaaf1fb74588","nme_uninterrupted",27623,"critical","have four horns",1,FALSE,FALSE,"Landeks"
"231","ba8a3e8a9d70b2faaa9cbaaf1fb74588","uninterrupted",49184,"critical","are stup-herders",0.8,FALSE,FALSE,"Finding food"
"232","ba8a3e8a9d70b2faaa9cbaaf1fb74588","nme_uninterrupted",25410,"critical","have long wings",1,FALSE,FALSE,"Lorches"
"233","ba8a3e8a9d70b2faaa9cbaaf1fb74588","interrupted",22767,"critical","have striped fur",1,FALSE,FALSE,"Kaples"
"234","ba8a3e8a9d70b2faaa9cbaaf1fb74588","nme_interrupted",21085,"critical","have six wings",1,FALSE,FALSE,"Batozes"
"235","ba8a3e8a9d70b2faaa9cbaaf1fb74588","uninterrupted",31868,"critical","build nests in gluers",0.5,FALSE,FALSE,"Fengnors"
"236","ba8a3e8a9d70b2faaa9cbaaf1fb74588","interrupted",19529,"critical","produce fruit with bumpy skin",1,FALSE,FALSE,"Isooms"
"237","ba8a3e8a9d70b2faaa9cbaaf1fb74588","nme_interrupted",42949,"critical","wear wutsats around their heads",0.7,FALSE,FALSE,"Reesles"
"238","ba8a3e8a9d70b2faaa9cbaaf1fb74588","interrupted",41792,"critical","are part of the Tinno guild",0.98,FALSE,FALSE,"Crafts"
"239","ba8a3e8a9d70b2faaa9cbaaf1fb74588","uninterrupted",30358,"critical","chew on xorfun",0.5,FALSE,FALSE,"Kweps"
"240","ba8a3e8a9d70b2faaa9cbaaf1fb74588","uninterrupted",39255,"critical","carry their young in guklags",0.5,FALSE,FALSE,"Ollers"
"241","e16a46bb97fdc690c5caf7229c1e2ea3","interrupted",12616,"critical","have long wings",0.75,FALSE,FALSE,"Lorches"
"242","e16a46bb97fdc690c5caf7229c1e2ea3","interrupted",16056,"critical","are stup-herders",0.8,FALSE,FALSE,"Finding food"
"243","e16a46bb97fdc690c5caf7229c1e2ea3","nme_interrupted",327691,"critical","have six wings",1,FALSE,FALSE,"Batozes"
"244","e16a46bb97fdc690c5caf7229c1e2ea3","uninterrupted",16688,"critical","have four horns",0.59,FALSE,FALSE,"Landeks"
"245","e16a46bb97fdc690c5caf7229c1e2ea3","interrupted",12152,"critical","ascribe to the Caboo religion",0.75,FALSE,FALSE,"Ludinos"
"246","e16a46bb97fdc690c5caf7229c1e2ea3","nme_uninterrupted",15943,"critical","are part of the Tinno guild",0.56,FALSE,FALSE,"Crafts"
"247","e16a46bb97fdc690c5caf7229c1e2ea3","nme_interrupted",18808,"critical","build nests in gluers",1,FALSE,FALSE,"Fengnors"
"248","e16a46bb97fdc690c5caf7229c1e2ea3","uninterrupted",147025,"critical","have striped fur",0.55,FALSE,FALSE,"Kaples"
"249","e16a46bb97fdc690c5caf7229c1e2ea3","nme_uninterrupted",17776,"critical","produce fruit with bumpy skin",0.92,FALSE,FALSE,"Isooms"
"250","e16a46bb97fdc690c5caf7229c1e2ea3","uninterrupted",185424,"critical","carry their young in guklags",0.71,FALSE,FALSE,"Ollers"
"251","e16a46bb97fdc690c5caf7229c1e2ea3","interrupted",12095,"critical","live on the continent of Caro",1,FALSE,FALSE,"Glippets"
"252","e16a46bb97fdc690c5caf7229c1e2ea3","uninterrupted",20096,"critical","flood their fields to plant fujusi",1,FALSE,FALSE,"Agriculture"
"253","4f625042d19af8fae683ac55944291d7","uninterrupted",17121,"critical","have long wings",0.5,FALSE,FALSE,"Lorches"
"254","4f625042d19af8fae683ac55944291d7","nme_interrupted",24877,"critical","flood their fields to plant fujusi",1,FALSE,FALSE,"Agriculture"
"255","4f625042d19af8fae683ac55944291d7","interrupted",20883,"critical","have striped fur",1,FALSE,FALSE,"Kaples"
"256","4f625042d19af8fae683ac55944291d7","nme_uninterrupted",28794,"critical","chew on xorfun",1,FALSE,FALSE,"Kweps"
"257","4f625042d19af8fae683ac55944291d7","uninterrupted",22182,"critical","have territories at the tops of tall mountains",0.5,FALSE,FALSE,"Mooks"
"258","4f625042d19af8fae683ac55944291d7","interrupted",27336,"critical","wear wutsats around their heads",1,FALSE,FALSE,"Reesles"
"259","4f625042d19af8fae683ac55944291d7","interrupted",37819,"critical","are part of the Tinno guild",1,FALSE,FALSE,"Crafts"
"260","4f625042d19af8fae683ac55944291d7","nme_interrupted",15161,"critical","produce fruit with bumpy skin",1,FALSE,FALSE,"Isooms"
"261","4f625042d19af8fae683ac55944291d7","uninterrupted",17477,"critical","have four horns",0.5,FALSE,FALSE,"Landeks"
"262","4f625042d19af8fae683ac55944291d7","nme_uninterrupted",13926,"critical","ascribe to the Caboo religion",1,FALSE,FALSE,"Ludinos"
"263","4f625042d19af8fae683ac55944291d7","interrupted",16644,"critical","have six wings",1,FALSE,FALSE,"Batozes"
"264","4f625042d19af8fae683ac55944291d7","uninterrupted",11670,"critical","live on the continent of Caro",1,FALSE,FALSE,"Glippets"
